id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731379_7,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158664,3,3,87,340.000.000,2025-07-28 14:36:19.713631,Usado,"Cúcuta, Norte de santander",7.9040935632186,-72.493133124772
P1753731383_8,https://www.fincaraiz.com.co/casa-en-venta-en-pescadero-colpet-cucuta/192159676,5,3,260,400.000.000,2025-07-28 14:36:23.089299,Usado,"Pescadero colpet, Cúcuta, Norte de santander",7.9038076834205,-72.50126481078
P1753731385_9,https://www.fincaraiz.com.co/casa-en-venta-en-palma-real-cucuta/192512190,2,3,56,160.000.000,2025-07-28 14:36:25.409147,Usado,"Palma real, Cúcuta, Norte de santander",7.909472951668,-72.483273925079
P1753731388_10,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192159108,3,3,79,240.000.000,2025-07-28 14:36:28.082034,Usado,"Cúcuta, Norte de santander",7.9095944005408,-72.525823705546
P1753731390_11,https://www.fincaraiz.com.co/casa-en-venta-en-caobos-cucuta/192158654,4,3,143,440.000.000,2025-07-28 14:36:30.972613,Usado,"Caobos, Cúcuta, Norte de santander",7.8839242252955,-72.492553767624
P1753731393_12,https://www.fincaraiz.com.co/casa-en-venta-en-bellavista-villa-del-rosario/11082498,5,7,497,2.200.000,2025-07-28 14:36:33.480102,Usado,"Bellavista, Villa del rosario, Norte de santander",7.8790103029805,-72.479550857253
P1753731396_13,https://www.fincaraiz.com.co/casa-en-venta-en-el-llano-cucuta/192200716,7,4,197,800.000.000,2025-07-28 14:36:36.269425,Usado,"El llano, Cúcuta, Norte de santander",7.8827307244121,-72.509803505722
P1753731398_14,https://www.fincaraiz.com.co/casa-en-venta-en-san-eduardo-cucuta/192158749,6,3,193,350.000.000,2025-07-28 14:36:38.875517,Usado,"San eduardo, Cúcuta, Norte de santander",7.90588,-72.48703
P1753731401_15,https://www.fincaraiz.com.co/casa-en-venta-en-prados-del-este-cucuta/192158829,3,3,90,370.000.000,2025-07-28 14:36:41.166452,Usado,"Prados del Este, Cúcuta, Norte de santander",7.907961115669,-72.472980303298
P1753731403_16,https://www.fincaraiz.com.co/casa-en-venta-en-prados-del-este-cucuta/192159125,3,3,92,370.000.000,2025-07-28 14:36:43.676010,Usado,"Prados del Este, Cúcuta, Norte de santander",7.9108542139867,-72.472694509379
P1753731405_17,https://www.fincaraiz.com.co/casa-en-venta-en-quinta-oriental-cucuta/192158145,5,5,232,1.608.700.000,2025-07-28 14:36:45.550456,Usado,"Quinta oriental, Cúcuta, Norte de santander",7.895842016626,-72.492510002336
P1753731408_18,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/192159573,6,4,300,1.800.000.000,2025-07-28 14:36:48.622793,Usado,"La riviera, Cúcuta, Norte de santander",7.8907558534001,-72.492563277483
P1753731411_19,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/192158507,2,2,50,126.000.000,2025-07-28 14:36:51.880036,Usado,"Cúcuta, Norte de santander",7.8890262646128,-72.477909565005
